State,Airfire_bomb,Holocaust _Jewish,Air_Nuclear
Germany,193308,138500,0
Japan,162894,198000,198000
United Kingdom,50510,0,0
Austria,0,57500,0
Belgium,0,27000,0
Czechoslovakia,0,77650,0
Denmark,0,88,0
Estonia,0,1750,0
France,0,76000,0
Greece,0,63000,0
Hungary,0,454500,0
Italy,0,7750,0
Japan,0,198000,0
Latvia,0,71000,0
Lithuania,0,136500,0
Luxembourg,0,1500,0
Netherlands,0,102500,0
Norway,0,800,0
Poland,0,2850000,0
Romania,0,204000,0
Slovakia,0,65500,0
Soviet Union,0,900000,0
Yugoslavia,0,60500,0
